id	meaning_id	sentence
60	46358	Затем был дом Миши, Мишей Пешан звали, затем дома Акимова, Дюкин, Макарова, Дермолаева и Феди Онуойн, этот ряд кончался домом Мийккула Богаттерин, а [начиная] с полей проходил задний ряд: там были дом Онтуоя, Архипан, Якова Хутун и дом вдовы Вани.
61	46358	Второй проселок проходил посередине деревни, проселком Сюрди называли.
62	48554	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
63	51739	А новое уже было открыто в Киркуой, вблизи проселка Сюрди, немного позднее его тут открыли, вся деревня там хоронила.
64	55288	Первым был дом Лаурин, затем Тимуоя Пекан, за ним были [дома] Богаттерин, Родин, Стёпин, Карпан, Пеши Руган, затем дом Баранцева, затем был дом Терентьева Ивана и Олёши.
65	55288	На Хауде за домом Голован был дом Ильи, Ильи Педрин.
66	55288	Затем был дом Мачин, затем на мысу, мысом Чуркина [называли], был дом Чуркина, затем дом Титова, Серговян, далее Дякку Мишан, Ивана Мишан был, Ондреван был, а Левоска жил на самом краю.
67	55288	Затем был дом Мачин, затем на мысу, мысом Чуркина [называли], был дом Чуркина, затем дом Титова, Серговян, далее Дякку Мишан, Ивана Мишан был, Ондреван был, а Левоска жил на самом краю.
68	55288	Затем был дом Мачин, затем на мысу, мысом Чуркина [называли], был дом Чуркина, затем дом Титова, Серговян, далее Дякку Мишан, Ивана Мишан был, Ондреван был, а Левоска жил на самом краю.
69	57746	А потом за полями в конце Сюрди были дома Мокин, Дюрасова, Секон, Олёшкан, Декку Руган, а в заднем ряду была еще школа.
70	72817	Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название.
71	72817	Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название.
72	72817	Тут кончается Муале и от Мийккула Богаттерин начинается Сюрде.
73	72817	Потом от Левоски пойдет уже Агде, четыре или пять домов было: Дёшкан, Тинтюн, Трошкова, Степана Агдян.
74	72817	Здесь деревня кончается, дальше уже пойдет кладбище, кладбище дальше.
75	72817	А новое уже было открыто в Киркуой, вблизи проселка Сюрди, немного позднее его тут открыли, вся деревня там хоронила.
76	72817	Второй проселок проходил посередине деревни, проселком Сюрди называли.
77	73755	Один проселок выходил из Муалы, он вел к большой дороге, к шоссе; по нему можно было пройти к погосту и куда только хотел идти.
78	73755	По нему лошадей водили за реку и скот гнали в лес; да еще ходили на поля.
79	73771	Все дома я могу припомнить, чьи были дома.
80	74297	Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название.
81	74297	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
82	78542	Со стороны погоста деревня начиналась и в Кажинагде кончалась.
83	78542	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
84	78542	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
85	78542	Одно было в конце Кажинагде, в давние времена там хоронили всех [покойников].
86	78543	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
87	78543	Один проселок выходил из Муалы, он вел к большой дороге, к шоссе; по нему можно было пройти к погосту и куда только хотел идти.
88	78544	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
89	78544	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
90	78544	Затем был дом Миши, Мишей Пешан звали, затем дома Акимова, Дюкин, Макарова, Дермолаева и Феди Онуойн, этот ряд кончался домом Мийккула Богаттерин, а [начиная] с полей проходил задний ряд: там были дом Онтуоя, Архипан, Якова Хутун и дом вдовы Вани.
91	78544	Тут кончается Муале и от Мийккула Богаттерин начинается Сюрде.
92	78544	Первым был дом Лаурин, затем Тимуоя Пекан, за ним были [дома] Богаттерин, Родин, Стёпин, Карпан, Пеши Руган, затем дом Баранцева, затем был дом Терентьева Ивана и Олёши.
93	78545	Затем был дом Миши, Мишей Пешан звали, затем дома Акимова, Дюкин, Макарова, Дермолаева и Феди Онуойн, этот ряд кончался домом Мийккула Богаттерин, а [начиная] с полей проходил задний ряд: там были дом Онтуоя, Архипан, Якова Хутун и дом вдовы Вани.
94	78546	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
95	78546	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
96	78546	От дома Голован начинается Хауде.
97	78546	На Хауде за домом Голован был дом Ильи, Ильи Педрин.
98	78547	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
99	78547	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
100	78547	Затем был дом Мачин, затем на мысу, мысом Чуркина [называли], был дом Чуркина, затем дом Титова, Серговян, далее Дякку Мишан, Ивана Мишан был, Ондреван был, а Левоска жил на самом краю.
101	78547	Потом от Левоски пойдет уже Агде, четыре или пять домов было: Дёшкан, Тинтюн, Трошкова, Степана Агдян.
102	78548	Все дома я могу припомнить, чьи были дома.
103	89722	Со стороны погоста деревня начиналась и в Кажинагде кончалась.
104	89723	Один проселок выходил из Муалы, он вел к большой дороге, к шоссе; по нему можно было пройти к погосту и куда только хотел идти.
105	89724	Он тоже вел к дороге, и в Прякку, и Ригсельгу, да и куда только хотел идти.
106	89725	Потом от Левоски пойдет уже Агде, четыре или пять домов было: Дёшкан, Тинтюн, Трошкова, Степана Агдян.
107	89727	Второй проселок проходил посередине деревни, проселком Сюрди называли.
108	89728	Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли.
109	89729	Он тоже вел к дороге, и в Прякку, и Ригсельгу, да и куда только хотел идти.
110	89777	Все дома я могу припомнить, чьи были дома.
111	90068	Первым был дом Лаурин, затем Тимуоя Пекан, за ним были [дома] Богаттерин, Родин, Стёпин, Карпан, Пеши Руган, затем дом Баранцева, затем был дом Терентьева Ивана и Олёши.
112	90133	По нему лошадей водили за реку и скот гнали в лес; да еще ходили на поля.
113	90147	Начиная со стороны погоста, первым был дом Феди Лескен, затем дом Кондруоя, затем был Дякку Ильян, затем дом Дёхора Деремян, далее были дома Дякку Гордин, Кузьмина, Педрин, Лёхлён, Михайлова – все это в [одном] ряду.
114	90149	Начиная со стороны погоста, первым был дом Феди Лескен, затем дом Кондруоя, затем был Дякку Ильян, затем дом Дёхора Деремян, далее были дома Дякку Гордин, Кузьмина, Педрин, Лёхлён, Михайлова – все это в [одном] ряду.
115	90149	Затем был дом Миши, Мишей Пешан звали, затем дома Акимова, Дюкин, Макарова, Дермолаева и Феди Онуойн, этот ряд кончался домом Мийккула Богаттерин, а [начиная] с полей проходил задний ряд: там были дом Онтуоя, Архипан, Якова Хутун и дом вдовы Вани.
116	90165	А потом за полями в конце Сюрди были дома Мокин, Дюрасова, Секон, Олёшкан, Декку Руган, а в заднем ряду была еще школа.
117	90168	Начиная со стороны погоста, первым был дом Феди Лескен, затем дом Кондруоя, затем был Дякку Ильян, затем дом Дёхора Деремян, далее были дома Дякку Гордин, Кузьмина, Педрин, Лёхлён, Михайлова – все это в [одном] ряду.
118	90193	Затем был дом Мачин, затем на мысу, мысом Чуркина [называли], был дом Чуркина, затем дом Титова, Серговян, далее Дякку Мишан, Ивана Мишан был, Ондреван был, а Левоска жил на самом краю.
119	90205	Первым был дом Лаурин, затем Тимуоя Пекан, за ним были [дома] Богаттерин, Родин, Стёпин, Карпан, Пеши Руган, затем дом Баранцева, затем был дом Терентьева Ивана и Олёши.
120	90239	Первым был дом Лаурин, затем Тимуоя Пекан, за ним были [дома] Богаттерин, Родин, Стёпин, Карпан, Пеши Руган, затем дом Баранцева, затем был дом Терентьева Ивана и Олёши.
121	90248	Потом от Левоски пойдет уже Агде, четыре или пять домов было: Дёшкан, Тинтюн, Трошкова, Степана Агдян.
122	90257	Потом от Левоски пойдет уже Агде, четыре или пять домов было: Дёшкан, Тинтюн, Трошкова, Степана Агдян.
123	90376	Первым был дом Лаурин, затем Тимуоя Пекан, за ним были [дома] Богаттерин, Родин, Стёпин, Карпан, Пеши Руган, затем дом Баранцева, затем был дом Терентьева Ивана и Олёши.
124	90550	Первым был дом Лаурин, затем Тимуоя Пекан, за ним были [дома] Богаттерин, Родин, Стёпин, Карпан, Пеши Руган, затем дом Баранцева, затем был дом Терентьева Ивана и Олёши.
125	90695	А потом за полями в конце Сюрди были дома Мокин, Дюрасова, Секон, Олёшкан, Декку Руган, а в заднем ряду была еще школа.
126	90845	Начиная со стороны погоста, первым был дом Феди Лескен, затем дом Кондруоя, затем был Дякку Ильян, затем дом Дёхора Деремян, далее были дома Дякку Гордин, Кузьмина, Педрин, Лёхлён, Михайлова – все это в [одном] ряду.
127	90845	На Хауде за домом Голован был дом Ильи, Ильи Педрин.
128	90845	На Хауде за домом Голован был дом Ильи, Ильи Педрин.
129	90911	Затем был дом Миши, Мишей Пешан звали, затем дома Акимова, Дюкин, Макарова, Дермолаева и Феди Онуойн, этот ряд кончался домом Мийккула Богаттерин, а [начиная] с полей проходил задний ряд: там были дом Онтуоя, Архипан, Якова Хутун и дом вдовы Вани.
130	90958	Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название.
131	90963	Начиная со стороны погоста, первым был дом Феди Лескен, затем дом Кондруоя, затем был Дякку Ильян, затем дом Дёхора Деремян, далее были дома Дякку Гордин, Кузьмина, Педрин, Лёхлён, Михайлова – все это в [одном] ряду.
132	90967	Начиная со стороны погоста, первым был дом Феди Лескен, затем дом Кондруоя, затем был Дякку Ильян, затем дом Дёхора Деремян, далее были дома Дякку Гордин, Кузьмина, Педрин, Лёхлён, Михайлова – все это в [одном] ряду.
133	91073	И был еще проселок Хустюндялги, [он начинался] после Кузиччу.
134	91074	А потом за полями в конце Сюрди были дома Мокин, Дюрасова, Секон, Олёшкан, Декку Руган, а в заднем ряду была еще школа.
135	91075	Начиная со стороны погоста, первым был дом Феди Лескен, затем дом Кондруоя, затем был Дякку Ильян, затем дом Дёхора Деремян, далее были дома Дякку Гордин, Кузьмина, Педрин, Лёхлён, Михайлова – все это в [одном] ряду.
136	91075	Затем был дом Миши, Мишей Пешан звали, затем дома Акимова, Дюкин, Макарова, Дермолаева и Феди Онуойн, этот ряд кончался домом Мийккула Богаттерин, а [начиная] с полей проходил задний ряд: там были дом Онтуоя, Архипан, Якова Хутун и дом вдовы Вани.
137	3484	– Ну, а как стара была деревня Пелдожа?
138	3485	– Ну, а как стара была деревня Пелдожа?
139	3485	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
140	3486	– Ну, а как стара была деревня Пелдожа?
141	3487	Сколько ей лет?
142	3487	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
143	3488	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
144	3488	После ведь поколение [за поколением] сменилось, поля появились.
145	3488	Народу все прибавлялось, землю делили да все...
146	3489	А кто были первые жители, я этого не помню, не могу сказать, как было.
147	3489	Память у меня была очень хорошая, и если бы рассказывали, так я запомнила бы все, помнила бы всю историю [деревни], да вот я не слыхала с чего все началось.
148	3489	Память у меня была очень хорошая, и если бы рассказывали, так я запомнила бы все, помнила бы всю историю [деревни], да вот я не слыхала с чего все началось.
149	3492	После ведь поколение [за поколением] сменилось, поля появились.
150	3492	После ведь поколение [за поколением] сменилось, поля появились.
151	3492	Мало, видно, было полей.
152	3545	– Как вспоминали?
153	3545	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
154	3545	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
155	3545	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
156	3545	Беглые основали нашу деревню, как вспоминают.
157	3546	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
158	3546	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
159	3546	А кто были первые жители, я этого не помню, не могу сказать, как было.
160	3568	Может Сюрде появилось первым, так как была Котчури-гора там.
161	3571	Помните, в Педай-запольке какая была сосна?
162	3572	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
163	14965	А только говорили, что глушь здесь была, стояли глухие леса.
164	14965	А только говорили, что глушь здесь была, стояли глухие леса.
165	14965	Глухой лес был, – и...
166	14965	А ведь где начнут жить, так тут лес корчуют, да жизнь устраивают.
167	15858	A сколько бедняков было – все [ушли] в бурлаки (в смысле «ушли на работу по найму») да в пастухи, они ушли из деревни, кто не хотел работать в деревне.
168	15858	Вот не могу этого сказать: Сюрде или Муале.
169	16155	А ведь где начнут жить, так тут лес корчуют, да жизнь устраивают.
170	16160	A сколько бедняков было – все [ушли] в бурлаки (в смысле «ушли на работу по найму») да в пастухи, они ушли из деревни, кто не хотел работать в деревне.
171	23848	– Ну, а как стара была деревня Пелдожа?
172	23848	А только говорили, что глушь здесь была, стояли глухие леса.
173	23848	Считалось, что беглые деревню начали строить, а откуда убежали да где были – не знаю.
174	23848	A сколько бедняков было – все [ушли] в бурлаки (в смысле «ушли на работу по найму») да в пастухи, они ушли из деревни, кто не хотел работать в деревне.
175	23848	– Ну, говорили ли, что сначала появилось: Сюрде, Муале или Хауде?
176	23848	А только говорили, что первыми начали деревню строить беглые.
177	23848	А ведь где начнут жить, так тут лес корчуют, да жизнь устраивают.
178	32618	да ели да березы были староколенные.
179	34405	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
180	34405	Беглые основали нашу деревню, как вспоминают.
181	34405	Народу все прибавлялось, землю делили да все...
182	34410	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
183	34410	Помните, в Педай-запольке какая была сосна?
184	34418	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
185	34833	да ели да березы были староколенные.
186	34855	А ведь где начнут жить, так тут лес корчуют, да жизнь устраивают.
187	35125	Народу все прибавлялось, землю делили да все...
188	37330	– Ну, говорили ли, что сначала появилось: Сюрде, Муале или Хауде?
189	42876	Народу все прибавлялось, землю делили да все...
190	43045	Толще этого стола была сосна в Педай-запольке, сучья были толще этих...
191	47446	А ведь где начнут жить, так тут лес корчуют, да жизнь устраивают.
192	47839	После ведь поколение [за поколением] сменилось, поля появились.
193	47931	A сколько бедняков было – все [ушли] в бурлаки (в смысле «ушли на работу по найму») да в пастухи, они ушли из деревни, кто не хотел работать в деревне.
194	51739	Беглые основали нашу деревню, как вспоминают.
195	52051	A сколько бедняков было – все [ушли] в бурлаки (в смысле «ушли на работу по найму») да в пастухи, они ушли из деревни, кто не хотел работать в деревне.
196	53338	A сколько бедняков было – все [ушли] в бурлаки (в смысле «ушли на работу по найму») да в пастухи, они ушли из деревни, кто не хотел работать в деревне.
197	57019	Народу все прибавлялось, землю делили да все...
198	58388	Мало, видно, было полей.
199	72568	Беглые основали нашу деревню, как вспоминают.
200	72568	А только говорили, что первыми начали деревню строить беглые.
201	72817	– Ну, а как стара была деревня Пелдожа?
202	72817	Сколько ей лет?
203	72817	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
204	72817	Беглые основали нашу деревню, как вспоминают.
205	72817	Считалось, что беглые деревню начали строить, а откуда убежали да где были – не знаю.
206	72817	A сколько бедняков было – все [ушли] в бурлаки (в смысле «ушли на работу по найму») да в пастухи, они ушли из деревни, кто не хотел работать в деревне.
207	72817	A сколько бедняков было – все [ушли] в бурлаки (в смысле «ушли на работу по найму») да в пастухи, они ушли из деревни, кто не хотел работать в деревне.
208	72817	А только говорили, что первыми начали деревню строить беглые.
209	74647	Память у меня была очень хорошая, и если бы рассказывали, так я запомнила бы все, помнила бы всю историю [деревни], да вот я не слыхала с чего все началось.
210	78012	Считалось, что беглые деревню начали строить, а откуда убежали да где были – не знаю.
211	78543	– Ну, говорили ли, что сначала появилось: Сюрде, Муале или Хауде?
212	78543	Вот не могу этого сказать: Сюрде или Муале.
213	78548	А кто были первые жители, я этого не помню, не могу сказать, как было.
214	78548	Память у меня была очень хорошая, и если бы рассказывали, так я запомнила бы все, помнила бы всю историю [деревни], да вот я не слыхала с чего все началось.
215	78548	Помните, в Педай-запольке какая была сосна?
216	89611	А только говорили, что первыми начали деревню строить беглые.
217	89777	Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни.
